Engelse naam/Food name,Hoeveelheid/Quantity,FAT (g),PROT (g),Carbohydrates (kcal),VITB1 (mg),RIBF (mg),VITB6 (mg),VITB12 (µg),VITD (µg),VITE (mg),VITC (mg),VITA (µg),Calcium (mg),Iron (mg),Magnesium (mg),Phosphorus (mg),Potassium (mg),Sodium (mg),Zinc (mg),food_group
Soup thickened w vegetables,per 100g,"2,4","0,7",36,"0,01","0,01","0,037",0,"0,1","0,8",6.0,103.0,12.0,"0,2",4.0,13.0,68.0,298.0,"0,1",Drop
Soup thickened w meat (beef/chicken),per 100g,"3,9","4,9",64,"0,02","0,03","0,08","0,28","0,2","0,6",0.0,24.0,6.0,"0,4",7.0,53.0,92.0,311.0,"0,75",Drop
Soup main course w legumes wo meat,per 100g,1,"3,3",58,"0,11","0,02","0,062",0,0,"0,2",2.0,15.0,28.0,"0,9",18.0,65.0,198.0,273.0,"0,51",Drop
Soup main course w legumes and meat,per 100g,"3,3","6,3",99,"0,12","0,06","0,103","0,07","0,1","0,3",2.0,14.0,28.0,"0,9",30.0,120.0,334.0,279.0,"0,86",Drop
Mousse chocolate home-made,per 100g,"16,8","8,9",301,"0,07","0,22","0,067","0,93","0,9","2,7",0.0,120.0,52.0,"2,5",40.0,186.0,219.0,83.0,"1,34",Dairy
Sausage spiced and smoked,per 100g,31,12,329,"0,18","0,12","0,035","0,64","0,9","0,9",38.0,35.0,8.0,"1,3",2.0,286.0,258.0,1000.0,"0,31",Meat
Sausage w smoked bacon-bits,per 100g,"26,6",13,308,"0,17","0,13","0,175","0,64","0,7","0,3",0.0,35.0,10.0,"1,5",11.0,286.0,258.0,930.0,"2,45",Meat
Ham lean boiled,per 100g,"5,7",18,134,"0,66","0,14","0,109","0,42","0,1","0,2",25.0,1.0,8.0,"0,7",22.0,298.0,478.0,859.0,"1,7",Meat
Ham shoulder medium fat boiled,per 100g,"6,2","16,4",133,"0,52","0,17","0,09","0,44","0,1","0,5",27.0,2.0,9.0,"0,8",19.0,330.0,530.0,826.0,"2,2",Meat
Ragout w meat all types,per 100g,"5,7","8,4",100,"0,03","0,04","0,191","0,43","0,5","0,2",0.0,48.0,11.0,"0,3",11.0,86.0,147.0,224.0,"0,78",Drop
Goulash,per 100g,"6,6","10,5",112,"0,13","0,11","0,239","0,66","0,5","1,5",12.0,64.0,18.0,1,17.0,118.0,305.0,286.0,"1,79",Drop
Cake butter Dutch Boterkoek,per 100g,"26,2","4,7",452,"0,03","0,05","0,05","0,2","0,2","1,3",0.0,296.0,21.0,"0,5",9.0,61.0,76.0,157.0,"0,36",Drop
Almond paste w egg,per 100g,"24,2","10,3",446,"0,07","0,33","0,037","0,16","0,1","9,4",3.0,21.0,125.0,"1,6",130.0,285.0,368.0,18.0,"1,47",Drop
Soup clear w noodles,per 100g,"0,4","0,5",15,0,0,"0,003",0,0,0,0.0,0.0,6.0,"0,1",3.0,8.0,12.0,377.0,"0,06",Drop
Soup thickened w meat (beef/chicken) and vegetables,per 100g,"3,3","2,9",55,"0,04","0,09","0,083","0,22","0,2","0,6",6.0,33.0,5.0,"0,4",8.0,60.0,191.0,250.0,"0,56",Drop
Sausage incl liver products av,per 100g,"29,9","15,7",343,"0,17","0,27","0,123","2,35","0,8","0,4",16.0,1184.0,26.0,"2,3",14.0,197.0,250.0,1079.0,"2,25",Meat
Soup vegetable based dried packet prep,per 100g,"0,8","0,5",23,"0,01",0,"0,017",0,"0,1","0,1",2.0,6.0,5.0,"0,1",4.0,6.0,65.0,289.0,"0,08",Drop
Soup meat based dried packet prepared,per 100g,"0,2","0,7",13,"0,01","0,01","0,022","0,06",0,"0,1",0.0,3.0,5.0,"0,5",5.0,93.0,21.0,304.0,"0,12",Drop
Soup legume based dried packet prepared,per 100g,"0,5","2,7",45,"0,05","0,02","0,048",0,"0,2","0,2",2.0,18.0,13.0,"0,8",12.0,50.0,122.0,264.0,"0,32",Drop
Soup vegetable based ready made,per 100g,"1,9","1,3",47,"0,02","0,02","0,034",0,"0,1","0,8",4.0,10.0,18.0,"0,3",6.0,30.0,146.0,281.0,"0,18",Drop
Soup meat based ready made,per 100g,"0,7",2,25,"0,01","0,02","0,022","0,06",0,"0,4",0.0,6.0,9.0,"0,4",4.0,12.0,124.0,292.0,"0,12",Drop
Soup legume based ready made,per 100g,"2,3",4,80,"0,03","0,02","0,049",0,"0,2",0,1.0,6.0,21.0,"0,8",15.0,53.0,153.0,293.0,"0,28",Drop
Cheese sheep fresh,per 100g,"18,8",17,238,"0,04","0,3","0,1","1,5","0,1","0,5",0.0,228.0,450.0,"0,7",25.0,360.0,150.0,1300.0,2,Dairy
Fruit spread w sweetener,per 100g,"0,2","0,4",156,"0,01","0,01","0,013",0,0,"0,5",3.0,13.0,8.0,"0,4",8.0,9.0,120.0,5.0,"0,05",Drop
Santen creamed coconut block,per 100g,"67,3","6,8",686,0,0,0,0,0,"0,2",0.0,1.0,3.0,"0,7",26.0,41.0,163.0,16.0,"0,32",Substitudes
Beef steak tartare spiced filet americain,per 100g,"18,8","14,2",240,"0,03","0,11","0,143","1,51","0,9","6,5",12.0,111.0,14.0,2,15.0,158.0,359.0,713.0,"4,8",Meat
Pasta wholemeal raw,per 100g,2,13,348,"0,48","0,14","0,4",0,0,"0,3",0.0,0.0,40.0,"3,3",120.0,405.0,500.0,10.0,3,Bread
Cream sour,per 100g,12,3,134,"0,03","0,15","0,035","0,2","0,1","0,5",1.0,210.0,104.0,0,11.0,79.0,130.0,40.0,"0,31",Dairy
Plaice raw,per 100g,"1,2","16,4",76,"0,33","0,14","0,23","1,3","1,1","0,6",0.0,0.0,17.0,"0,1",21.0,157.0,226.0,147.0,"0,5",Meat
Fish fingers fried in sunflower oil,per 100g,13,"16,4",239,"0,11","0,07","0,15",2,"1,4","3,5",0.0,69.0,16.0,"0,9",32.0,120.0,248.0,380.0,"0,58",Meat
Fish fingers unprepared,per 100g,8,13,194,"0,16","0,08","0,14",1,"2,7","2,2",0.0,8.0,24.0,"0,8",22.0,138.0,179.0,308.0,"0,56",Meat
Plaice fried,per 100g,"10,9",22,194,"0,22","0,11","0,078",2,"1,1","2,6",2.0,8.0,101.0,"0,9",30.0,125.0,372.0,110.0,1,Meat
White fish fillet in batter deep-fried in vegetable oil,per 100g,"11,2",19,210,"0,04","0,11","0,078","0,9","1,4","2,6",0.0,10.0,101.0,"0,7",30.0,125.0,348.0,400.0,"0,6",Meat
Cod boiled,per 100g,1,23,105,"0,07","0,04","0,06",2,"1,1",0,0.0,2.0,29.0,"0,5",26.0,330.0,330.0,108.0,"0,3",Meat
Cod raw,per 100g,"0,6","17,5",75,"0,06","0,08","0,14","1,5",0,"0,7",0.0,2.0,12.0,"0,1",25.0,169.0,322.0,91.0,"0,3",Meat
Bloater fried,per 100g,"22,2","21,6",299,"0,08","0,29","0,163","8,93",8,3,0.0,48.0,18.0,"1,1",24.0,191.0,367.0,483.0,"0,45",Meat
Garlic raw,per 100g,"0,5","6,4",158,"0,2","0,11","1,235",0,0,"0,1",0.0,1.0,11.0,"1,7",25.0,153.0,401.0,17.0,"1,16",Vegetables
Ginger root,per 100g,"0,8","1,8",81,"0,03","0,03","0,16",0,0,"0,3",5.0,0.0,16.0,"0,6",43.0,34.0,415.0,13.0,"0,34",Drop
Apple strudel,per 100g,"11,7","3,7",278,"0,02","0,01","0,041",0,"1,1","1,2",2.0,115.0,13.0,"0,5",8.0,28.0,107.0,165.0,"0,17",Drop
Cheesecake made w quark,per 100g,"12,2","5,5",218,"0,01","0,12","0,002","0,08","1,2","0,7",0.0,91.0,81.0,"0,4",10.0,100.0,119.0,93.0,"0,39",Drop
Shortbread,per 100g,27,"4,7",475,"0,03","0,02","0,053",0,"2,5","1,6",0.0,260.0,11.0,"0,4",9.0,46.0,69.0,334.0,"0,28",Drop
Sesame seeds,per 100g,"57,4","22,7",632,"0,83","0,12","0,351",0,0,"2,5",0.0,1.0,37.0,"5,8",335.0,640.0,475.0,26.0,"5,75",Nuts
Beans soya dried,per 100g,"18,6","35,9",418,"1,1","0,31","0,38",0,0,"2,9",0.0,2.0,225.0,"8,4",250.0,555.0,1680.0,5.0,"4,3",Vegetables
Salt fortified w iodine,per 100g,0,0,0,0,0,0,0,0,0,0.0,0.0,2.0,"0,1",0.0,1.0,7.0,39000.0,"0,1",Drop
Snack sausage roll w bread dough frozen prepared in oven,per 100g,19,11,369,"0,22","0,15","0,102","0,8","0,2","0,2",0.0,12.0,20.0,"1,3",20.0,125.0,185.0,402.0,"2,17",Drop
Candybar Twix,per 100g,"23,9","4,5",495,"0,08","0,13","0,05","0,33",0,"0,2",1.0,16.0,109.0,"1,3",24.0,96.0,159.0,163.0,"0,53",Drop
Millet raw,per 100g,4,11,370,"0,26","0,14",0,0,0,"0,3",0.0,0.0,25.0,"4,8",100.0,300.0,280.0,3.0,"1,7",Bread
Grapefruit in syrup canned,per 100g,0,"0,5",66,"0,04","0,01","0,02",0,0,"0,1",30.0,0.0,17.0,"0,7",7.0,13.0,79.0,10.0,"0,4",Fruits
Fennel raw,per 100g,0,1,17,"0,23","0,11","0,1",0,0,"0,2",5.0,23.0,70.0,"1,4",8.0,45.0,400.0,11.0,"0,25",Vegetables
Vegetables mixed pickled Atjar tjampoer glass,per 100g,"0,2",1,42,"0,02","0,02","0,052",0,0,"0,1",9.0,55.0,26.0,"0,1",4.0,13.0,78.0,406.0,"0,05",Vegetables
Sweet pepper pickled glass,per 100g,"0,1","0,9",16,"0,03","0,03","0,1",0,0,"0,8",47.0,163.0,17.0,"0,4",11.0,20.0,90.0,600.0,"0,18",Vegetables
Salad celeriac,per 100g,"17,6",1,206,"0,02","0,02","0,058","0,05","0,1","4,1",1.0,14.0,30.0,"0,7",8.0,36.0,132.0,353.0,"0,13",Drop
Gado gado wo rice and wo egg,per 100g,7,"3,7",103,"0,07","0,04","0,034",0,0,"1,6",10.0,15.0,36.0,"0,7",28.0,60.0,183.0,149.0,"0,55",Drop
Gateau fatless sponge w fruit & cream,per 100g,"14,1","3,1",228,"0,03","0,1","0,062","0,21","0,2","1,4",6.0,162.0,47.0,"0,5",16.0,69.0,128.0,53.0,"0,36",Drop
Biscuit spiced Speculaas w almond paste,per 100g,"23,9","7,3",436,"0,05","0,16","0,051","0,13","1,4","7,7",1.0,153.0,59.0,"1,2",57.0,147.0,198.0,277.0,"0,82",Drop
Rosti unprepared,per 100g,"2,5","2,5",123,"0,05","0,03","0,1",0,0,"0,6",5.0,0.0,8.0,"0,4",10.0,30.0,426.0,40.0,"0,37",Bread
Madeira,per 100g,0,0,166,0,0,0,0,0,0,0.0,0.0,0.0,"0,4",10.0,0.0,100.0,4.0,"0,14",Drop
Milkshake w fresh fruit,per 100g,"1,9","2,4",97,"0,03","0,13","0,061","0,3",0,"0,1",9.0,26.0,82.0,"0,1",13.0,74.0,170.0,29.0,"0,3",Dairy
Yoghurt full fat w fruit,per 100g,"3,1","3,7",97,"0,01","0,24","0,029","0,22",0,"0,1",1.0,33.0,125.0,"0,1",12.0,96.0,173.0,46.0,"0,43",Dairy
Linseeds,per 100g,31,19,477,"1,64","0,16",0,0,0,"0,7",0.0,0.0,255.0,"5,7",181.0,660.0,725.0,28.0,"7,8",Nuts
Flour soya full fat,per 100g,23,38,478,"0,64","0,35","0,35",0,0,"1,5",0.0,0.0,220.0,"6,9",240.0,590.0,2090.0,9.0,5,Bread
Drink soya wo sugar,per 100g,"1,8","3,4",35,"0,02","0,02","0,052",0,0,"0,4",0.0,0.0,17.0,"0,5",18.0,44.0,150.0,11.0,"0,35",Substitudes
Sunflower seeds,per 100g,"56,5",18,647,"1,62","0,17","1,3",0,0,"37,8",0.0,3.0,79.0,"4,9",363.0,640.0,660.0,62.0,"5,4",Nuts
Biscuit w currants Liga Evergreen,per 100g,"9,1","6,9",390,"0,08","0,03","1,4",0,0,"1,5",0.0,0.0,270.0,"8,4",45.0,167.0,500.0,140.0,"1,8",Drop
Apple w skin av,per 100g,"0,2","0,3",56,"0,01","0,01","0,034",0,0,"0,3",5.0,4.0,4.0,"0,1",5.0,11.0,123.0,1.0,"0,08",Fruits
Peanuts salted,per 100g,"50,5","24,8",620,"0,11","0,08","0,149",0,0,"5,8",0.0,1.0,48.0,"1,7",188.0,462.0,627.0,350.0,"2,8",Nuts
Croissants canned baked,per 100g,"22,6",7,420,"0,07","0,1","0,04",0,0,"1,8",0.0,4.0,37.0,"0,9",34.0,103.0,177.0,490.0,"0,72",Bread
Butter salted,per 100g,"81,2","0,7",737,"0,01","0,03",0,"0,3","0,3","2,8",0.0,911.0,17.0,"0,1",2.0,23.0,27.0,400.0,"0,09",Fats
Cheese Kernhem 60+,per 100g,"40,6","18,6",443,"0,05","0,3","0,06",2,"0,3","0,6",0.0,352.0,600.0,"0,4",27.0,300.0,100.0,600.0,4,Dairy
Cheese Old Amsterdam 48+,per 100g,33,26,404,"0,01","0,29","0,029","2,42","0,3",1,0.0,363.0,871.0,"0,2",38.0,621.0,91.0,880.0,"3,7",Dairy
Sweet pepper red raw,per 100g,"0,1","0,8",25,"0,04","0,07","0,288",0,0,"3,1",150.0,141.0,7.0,"0,4",12.0,32.0,299.0,1.0,"0,32",Vegetables
Sweet pepper red boiled,per 100g,"0,1","0,9",28,"0,04","0,06","0,269",0,0,"4,4",119.0,163.0,9.0,"0,4",10.0,25.0,195.0,2.0,"0,27",Vegetables
Satay pork w peanut sauce prepared,per 100g,"7,9","11,9",158,"0,36","0,14","0,195","0,23","0,2","2,1",0.0,4.0,20.0,"0,7",39.0,167.0,289.0,571.0,"1,64",Drop
Vol -au-vent shell made w butter,per 100g,"39,6","8,9",570,"0,32","0,26","0,1",0,"0,1","0,1",0.0,162.0,15.0,"0,6",10.0,50.0,94.0,400.0,"0,32",Bread
Snack sausage roll w bread dough pastry,per 100g,"21,8","11,8",382,"0,22","0,15","0,102","0,8","0,2","0,2",0.0,12.0,20.0,"1,3",20.0,125.0,203.0,655.0,"2,17",Drop
Quark half fat w fruit,per 100g,"3,5","5,9",109,"0,02","0,19","0,033","0,4",0,"0,1",0.0,39.0,107.0,0,10.0,99.0,137.0,30.0,"0,4",Dairy
Plaice boiled,per 100g,2,19,98,"0,26","0,17","0,054",1,"1,1","0,4",2.0,8.0,53.0,"0,4",22.0,300.0,250.0,110.0,"0,6",Meat
Pollock (Atlantic) boiled,per 100g,"1,5",25,114,"0,29","0,24","0,37","4,8","1,4","0,8",0.0,5.0,10.0,"0,4",44.0,237.0,420.0,95.0,"0,6",Meat
Broccoli boiled,per 100g,"0,3","3,9",27,"0,05","0,07","0,077",0,0,"2,5",38.0,116.0,33.0,"0,9",19.0,97.0,399.0,5.0,"0,62",Vegetables
Broccoli raw,per 100g,"0,7","2,9",27,"0,08","0,11","0,199",0,0,"0,9",47.0,57.0,38.0,"0,6",12.0,69.0,227.0,5.0,"0,32",Vegetables
Courgettes raw,per 100g,"0,2","1,3",18,"0,05","0,09","0,15",0,0,"0,1",16.0,60.0,30.0,"0,8",22.0,23.0,200.0,1.0,"0,3",Vegetables
Cheese 20+ low sodium,per 100g,13,"36,7",264,"0,03","0,2","0,06","2,8","0,1","0,4",1.0,102.0,1223.0,"0,1",40.0,830.0,600.0,50.0,"3,8",Dairy
Cheese 40+ low sodium,per 100g,"24,6","29,4",339,"0,03","0,2","0,06","1,9","0,3","0,7",1.0,212.0,953.0,"0,1",28.0,660.0,600.0,50.0,"3,8",Dairy
Chocolate milk sugar-free,per 100g,"34,7","7,1",485,"0,09","0,35","0,041","0,58",0,"1,2",1.0,62.0,250.0,4,100.0,205.0,404.0,79.0,"0,11",Drop
Quark low fat w fruit,per 100g,"0,2","8,6",80,"0,02","0,24","0,028","0,57",0,0,0.0,2.0,110.0,"0,1",11.0,126.0,137.0,31.0,"0,51",Dairy
Blancmange vanilla w strawberry sauce,per 100g,"2,3","4,1",112,"0,02","0,11","0,02","0,2",0,"0,1",1.0,82.0,101.0,0,8.0,68.0,105.0,68.0,"0,81",Dairy
Croquette meat ragout prepared in oven,per 100g,9,"8,9",204,"0,09","0,06","0,034","0,34",0,"3,5",0.0,3.0,15.0,"1,2",17.0,84.0,115.0,545.0,"1,2",Drop
Rosti prepared wo fat,per 100g,"5,1","1,9",149,"0,07","0,03","0,172",0,0,"0,6",5.0,0.0,9.0,"0,4",21.0,77.0,426.0,40.0,"0,37",Bread
Yeast fresh,per 100g,"0,4","11,4",66,"0,71","1,7","0,6",0,0,0,0.0,0.0,25.0,5,59.0,390.0,610.0,16.0,"3,2",Drop
Beans French boiled,per 100g,"0,4","1,8",25,"0,06","0,08","0,071",0,0,"0,3",1.0,53.0,54.0,"0,8",27.0,42.0,265.0,2.0,"0,37",Vegetables
Kale curly frozen boiled,per 100g,"1,6",2,37,"0,04","0,1","0,12",0,0,"2,5",15.0,847.0,150.0,1,8.0,45.0,225.0,10.0,"0,2",Vegetables
Peas frozen boiled,per 100g,0,6,92,"0,24","0,09","0,078",0,0,"0,2",14.0,76.0,32.0,"1,8",27.0,98.0,163.0,6.0,"0,8",Vegetables
Beans French frozen boiled,per 100g,"0,1","1,8",34,"0,05","0,05","0,012",0,0,"0,1",5.0,64.0,69.0,"0,7",20.0,37.0,153.0,5.0,"0,25",Vegetables
Asparagus white boiled,per 100g,"0,3",1,21,"0,1","0,07","0,03",0,0,"1,2",10.0,0.0,20.0,1,13.0,60.0,200.0,5.0,"0,7",Vegetables
Beetroot boiled,per 100g,"0,1","1,2",30,"0,05","0,05","0,038",0,0,"0,1",3.0,2.0,22.0,"0,3",13.0,31.0,344.0,62.0,"0,34",Vegetables
Kale curly raw,per 100g,"0,6",3,33,"0,02","0,2","0,22",0,0,"1,7",100.0,670.0,180.0,1,34.0,80.0,400.0,28.0,"0,4",Vegetables
Salsify boiled,per 100g,1,1,84,"0,05","0,02","0,12",0,0,"0,8",4.0,3.0,60.0,"1,5",16.0,50.0,400.0,5.0,"0,3",Vegetables
Beans runner boiled,per 100g,0,"1,8",23,"0,07","0,06","0,05",0,0,"0,3",5.0,43.0,37.0,"0,5",18.0,35.0,168.0,2.0,"0,28",Vegetables
Beans broad boiled,per 100g,0,5,45,"0,1","0,15","0,07",0,0,"0,4",30.0,29.0,20.0,"0,8",19.0,100.0,400.0,5.0,"0,7",Vegetables
Peas fresh boiled,per 100g,0,4,69,"0,17","0,15","0,09",0,0,"0,2",25.0,41.0,20.0,2,29.0,80.0,300.0,10.0,1,Vegetables
Mange-tout boiled,per 100g,0,2,33,"0,15","0,06","0,09",0,0,"0,2",35.0,43.0,40.0,"0,5",29.0,30.0,250.0,5.0,1,Vegetables
Courgettes boiled,per 100g,"0,1","1,5",19,"0,05","0,05","0,095",0,0,"0,1",3.0,33.0,20.0,"0,5",22.0,51.0,270.0,1.0,"0,31",Vegetables
Fennel boiled,per 100g,0,1,17,"0,05","0,01","0,08",0,0,"0,2",3.0,10.0,70.0,"1,4",7.0,45.0,400.0,70.0,"0,4",Vegetables
Peas marrowfat boiled,per 100g,"0,9","9,5",127,"0,2","0,04","0,021",0,0,"0,4",0.0,0.0,39.0,"2,1",46.0,181.0,324.0,3.0,"1,56",Vegetables
Lentils green and brown boiled,per 100g,"0,7","8,8",99,"0,19","0,05","0,14",0,0,"0,1",0.0,3.0,23.0,"2,9",34.0,160.0,657.0,9.0,"1,4",Vegetables
Beans soya boiled,per 100g,"5,5","10,6",123,"0,32","0,09","0,112",0,0,"1,1",0.0,1.0,70.0,"2,5",74.0,163.0,494.0,3.0,"1,27",Vegetables
Peas green boiled,per 100g,"0,8","8,4",126,"0,44","0,04","0,1",0,0,"0,2",0.0,16.0,35.0,2,38.0,160.0,400.0,5.0,"1,4",Vegetables
Crispbread sesame,per 100g,"9,8","12,8",421,"0,2","0,1","0,12",0,0,"0,9",0.0,0.0,100.0,"2,3",70.0,225.0,250.0,417.0,"1,8",Bread
Crispbread lightweight,per 100g,"1,5",10,334,"0,3","0,3","0,31",0,0,"0,4",0.0,0.0,50.0,"2,7",110.0,335.0,400.0,400.0,"2,5",Bread
Potatoes wo skin boiled av,per 100g,"0,3","1,9",83,"0,06","0,01","0,187",0,0,"0,1",9.0,1.0,9.0,"0,5",19.0,41.0,344.0,4.0,"0,33",Bread
Soup vegetable based low sodium prepared,per 100g,"0,2","0,8",22,"0,01",0,"0,017",0,"0,1","0,1",2.0,6.0,5.0,"0,1",4.0,6.0,228.0,10.0,"0,08",Drop
Pomegranate,per 100g,1,1,91,"0,05","0,02","0,31",0,0,"0,6",7.0,6.0,8.0,"0,5",11.0,17.0,220.0,1.0,"0,4",Fruits
Dairy dessert w cream,per 100g,"3,8","2,5",105,"0,02","0,17","0,028","0,22",0,"0,1",0.0,36.0,89.0,0,9.0,69.0,121.0,58.0,"0,3",Dairy
Figs fresh,per 100g,0,1,84,"0,06","0,05","0,11",0,0,"0,1",3.0,25.0,54.0,"0,6",15.0,32.0,253.0,1.0,"0,3",Fruits
Rye bread wholemeal low sodium,per 100g,"1,3","5,6",201,"0,06","0,06","0,2",0,0,"0,9",0.0,0.0,33.0,"2,7",57.0,174.0,241.0,4.0,"1,5",Bread
Bread crumbs,per 100g,"3,5",13,378,"0,5","0,2","0,035",0,0,"0,8",0.0,0.0,18.0,"1,2",13.0,100.0,300.0,600.0,"0,9",Bread
Rice brown boiled,per 100g,1,"3,1",131,"0,1","0,01","0,046",0,0,0,0.0,0.0,16.0,"0,4",39.0,105.0,37.0,5.0,"0,81",Bread
Bulgur wheat raw,per 100g,"1,3","12,3",340,"0,23","0,12","0,342",0,0,"0,1",0.0,1.0,35.0,"2,5",164.0,300.0,410.0,17.0,"1,93",Bread
Wheat rye bread wholemeal,per 100g,"1,9","9,7",234,"0,12","0,07","0,092",0,0,"0,5",0.0,0.0,34.0,2,61.0,189.0,247.0,372.0,"1,42",Bread
Rye flakes rolled,per 100g,2,12,352,"0,35","0,17","0,29",0,0,"0,9",0.0,0.0,64.0,"3,7",110.0,373.0,530.0,40.0,"2,6",Bread
Buckwheat groats,per 100g,2,8,357,"0,28","0,07","0,4",0,0,"0,1",0.0,2.0,12.0,2,80.0,150.0,218.0,1.0,"1,1",Bread
Flour wheat self-raising,per 100g,"1,1","10,3",339,"0,08","0,05","0,12",0,0,"0,4",0.0,0.0,10.0,"0,8",20.0,80.0,150.0,570.0,"0,6",Bread
Artichoke raw,per 100g,0,2,49,"0,14","0,01","0,03",0,0,"0,2",8.0,8.0,53.0,"1,5",22.0,130.0,353.0,47.0,"0,5",Vegetables
Cripsbakes Dutch low sodium,per 100g,6,14,399,"0,08","0,14","0,071",0,0,"0,8",0.0,0.0,26.0,"1,8",25.0,130.0,223.0,37.0,"0,9",Bread
Flour rice Olvarit,per 100g,"1,2","7,8",385,"0,9","0,03","0,2",0,0,0,0.0,0.0,18.0,"0,7",25.0,100.0,105.0,8.0,"1,55",Bread
Kiwi fruit green,per 100g,"0,8","0,9",62,"0,01","0,02","0,072",0,0,"1,4",79.0,7.0,30.0,"0,5",14.0,34.0,312.0,3.0,"0,21",Fruits
Preparation ORS Orisel-Junior p 100 ml Nutricia,per 100ml,0,0,9,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,78.0,138.0,0,Drop
Preparation ORS Orisel p 100 ml Nutricia,per 100ml,0,0,9,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,79.0,206.0,0,Drop
Passion fruit,per 100g,"0,4","2,6",52,"0,03","0,12","0,1",0,0,"0,5",23.0,125.0,11.0,"1,3",29.0,64.0,237.0,19.0,"0,8",Fruits
Kefir,per 100g,"1,5","3,5",40,"0,04","0,18","0,033","0,45",0,0,1.0,16.0,120.0,0,12.0,104.0,160.0,47.0,"0,41",Dairy
Dandelion leaves raw,per 100g,1,3,55,"0,19","0,14","0,251",0,0,"3,4",40.0,139.0,150.0,"3,1",36.0,66.0,76.0,76.0,"1,2",Vegetables
Peas chick boiled,per 100g,3,"7,6",138,"0,09","0,03","0,023",0,0,"1,7",0.0,2.0,59.0,"1,8",42.0,124.0,215.0,3.0,"1,29",Vegetables
Salmon smoked,per 100g,"10,8","21,8",188,"0,27","0,17","0,563","5,02",4,"2,5",0.0,6.0,9.0,"0,2",32.0,318.0,489.0,1319.0,"0,42",Meat
Squid raw,per 100g,1,16,73,"0,07","0,05","0,69",2,0,"1,2",0.0,15.0,27.0,"0,6",28.0,143.0,273.0,110.0,"1,1",Meat
Kumquat,per 100g,"0,5","0,9",52,"0,07","0,07","0,06",0,0,"0,2",39.0,29.0,25.0,"0,6",13.0,49.0,180.0,6.0,"0,1",Fruits
Herring pickled (sweet)sour,per 100g,16,16,208,"0,05","0,21","0,15","6,1","6,2","0,6",0.0,13.0,38.0,"1,4",5.0,149.0,58.0,818.0,"0,3",Meat
Cheese smoked 45+,per 100g,"26,2","21,2",331,"0,03","0,3","0,03","0,9","0,3",0,1.0,325.0,603.0,"0,1",41.0,750.0,150.0,1044.0,3,Dairy
Melon honeydew,per 100g,0,"0,9",30,"0,05","0,02","0,1",0,0,"0,2",32.0,8.0,13.0,"0,6",11.0,21.0,350.0,20.0,"0,17",Fruits
Cheese Rambol,per 100g,25,"13,6",291,"0,05","0,23","0,042","0,6",0,"0,8",1.0,201.0,443.0,"0,4",33.0,763.0,139.0,866.0,"2,1",Dairy
Cheese Stilton,per 100g,"33,4","21,3",388,"0,03","0,4","0,115","1,15","0,2","0,6",0.0,390.0,285.0,"0,3",18.0,285.0,112.0,850.0,"1,75",Dairy
Cheese Camembert 30+,per 100g,14,24,223,"0,05","0,67","0,28","1,1","0,1","0,4",1.0,153.0,600.0,"0,2",20.0,540.0,120.0,900.0,3,Dairy
Cheese raw milk 48+,per 100g,32,26,392,"0,03","0,2","0,06","1,9","0,3","0,8",1.0,345.0,870.0,"0,1",30.0,595.0,66.0,880.0,4,Dairy
Cheese 48+ low sodium,per 100g,"30,7","26,1",381,"0,03","0,2","0,06","1,96","0,3","0,8",1.0,345.0,847.0,"0,1",40.0,585.0,600.0,50.0,3,Dairy
Melon in syrup canned,per 100g,0,"0,5",80,"0,04","0,05","0,06",0,0,0,12.0,8.0,15.0,"0,8",6.0,10.0,300.0,15.0,"0,16",Fruits
Peas extra fine low sodium tinned,per 100g,0,4,51,"0,1","0,07","0,091",0,0,"0,3",9.0,61.0,36.0,"1,6",23.0,100.0,500.0,40.0,"0,95",Vegetables
Juice lemon fresh,per 100g,0,"0,4",47,"0,04","0,01","0,04",0,0,0,53.0,1.0,11.0,"0,1",7.0,11.0,138.0,1.0,"0,13",Drop
Mushroom low sodium tinned,per 100g,"0,4","2,1",18,"0,02","0,19","0,03",0,0,0,2.0,0.0,20.0,"0,1",6.0,70.0,400.0,24.0,"0,6",Vegetables
Berenburg herb liquor,per 100g,0,0,189,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,Drop
Endive frozen unprepared,per 100g,0,1,9,"0,03","0,03","0,057",0,0,"0,8",1.0,351.0,54.0,"0,5",10.0,36.0,163.0,29.0,"0,34",Vegetables
Peas and carrots frozen unprepared,per 100g,"0,4","3,8",58,"0,2","0,05","0,053",0,0,"0,3",10.0,723.0,29.0,1,18.0,58.0,200.0,10.0,"0,5",Vegetables
Vegetable mix for pea soup frozen unprep,per 100g,0,2,17,"0,05","0,05","0,092",0,0,"0,6",10.0,302.0,38.0,"0,4",14.0,38.0,150.0,25.0,"0,22",Vegetables
Beans runner frozen unprepared,per 100g,"0,1","1,9",28,"0,1","0,1","0,02",0,0,"0,2",15.0,43.0,40.0,1,10.0,30.0,250.0,11.0,"0,2",Vegetables
Spinach cut frozen unprepared,per 100g,"0,3","2,3",20,"0,07","0,12","0,056",0,0,"1,7",15.0,607.0,125.0,"1,5",35.0,50.0,338.0,27.0,"0,7",Vegetables
