Engelse naam/Food name,Hoeveelheid/Quantity,FAT (g),PROT (g),Carbohydrates (kcal),VITB1 (mg),RIBF (mg),VITB6 (mg),VITB12 (µg),VITD (µg),VITE (mg),VITC (mg),VITA (µg),Calcium (mg),Iron (mg),Magnesium (mg),Phosphorus (mg),Potassium (mg),Sodium (mg),Zinc (mg),food_group
Bitter gourd pods boiled,per 100g,"0,2","0,8",18,"0,05","0,05","0,041",0,0,"0,1",33.0,47.0,9.0,"0,4",16.0,36.0,319.0,6.0,"0,77",Vegetables
Okra boiled,per 100g,"0,2","1,9",22,"0,13","0,06","0,187",0,0,"0,3",16.0,28.0,77.0,"0,3",36.0,32.0,135.0,6.0,"0,43",Vegetables
"Cod dried, salted, soaked, boiled",per 100g,"0,9","32,5",138,"0,04","0,1","0,13","2,2","1,1","0,7",0.0,2.0,22.0,"1,8",35.0,160.0,427.0,400.0,"0,5",Meat
Soy sauce based on ketjap,per 100g,"0,1","1,6",253,0,"0,01",0,0,0,0,0.0,0.0,5.0,"0,5",4.0,2.0,2.0,1120.0,"0,02",Drop
Mince chicken raw,per 100g,"6,8","21,5",147,"0,07","0,13","0,411",1,"0,3","0,7",0.0,25.0,8.0,"0,6",22.0,190.0,270.0,80.0,"1,1",Meat
Margarine product 60% fat >17 g sat fa salted,per 100g,59,"0,2",532,0,0,0,0,"7,5","13,1",0.0,800.0,10.0,"0,1",2.0,23.0,42.0,129.0,0,Fats
Quinoa raw,per 100g,"6,1","14,1",354,"0,36","0,32","0,487",0,0,"2,5",0.0,1.0,47.0,"4,6",197.0,457.0,563.0,5.0,"3,1",Bread
Quinoa cooked,per 100g,"1,9","4,4",114,"0,11","0,11","0,123",0,0,"0,8",0.0,1.0,17.0,"1,5",64.0,152.0,172.0,7.0,"1,09",Bread
Cheese 30+ age 4-8 weeks,per 100g,"17,7","30,1",280,"0,03","0,32","0,053","1,71","0,2","0,5",0.0,179.0,1020.0,"0,2",40.0,610.0,76.0,677.0,"4,15",Dairy
Infant formula Kruidvat Standaard 1 p 100 ml,per 100ml,"3,3","1,3",67,"0,06","0,12","0,04","0,18","1,2","1,1",10.0,72.0,51.0,"0,6",6.0,26.0,67.0,20.0,"0,53",Drop
